dataset,numshot,baseline_model,mean_auc,mean_complexity
calhousing,4,decision_tree,0.5041,1.4
calhousing,8,ttnet,0.6912,274.8
calhousing,8,xgboost,0.507,0.2
calhousing,8,logistic_rule_regression,0.6835,84.6
calhousing,8,logistic_regression,0.6199,16.0
calhousing,8,decision_tree,0.5113,2.2
calhousing,32,ttnet,0.7618,296.6
calhousing,32,xgboost,0.7557,58.0
calhousing,32,logistic_rule_regression,0.7773,52.4
calhousing,32,logistic_regression,0.86,16.0
calhousing,32,decision_tree,0.7041,9.0
calhousing,256,ttnet,0.8268,281.0
calhousing,256,xgboost,0.8816,2435.8
calhousing,256,logistic_rule_regression,0.8646,95.2
calhousing,256,logistic_regression,0.8655,16.0
calhousing,256,decision_tree,0.7887,43.8
calhousing,128,ttnet,0.79,268.2
calhousing,128,xgboost,0.8451,774.8
calhousing,128,logistic_rule_regression,0.8297,94.2
calhousing,128,logistic_regression,0.8872,16.0
calhousing,128,decision_tree,0.7366,31.0
