parent_model,dataset,numshot,student_model,mean_auc,mean_complexity
tabllm,credit_card_default,256,logistic_rule_regression,0.6769,60.0
tabllm,credit_card_default,256,logistic_regression,0.698,42.0
tabllm,credit_card_default,256,decision_tree,0.6257,148.6
tabllm,credit_card_default,128,ttnet,0.7097,628.0
tabllm,credit_card_default,128,xgboost,0.6516,11687.2
tabllm,credit_card_default,128,logistic_rule_regression,0.6115,54.0
tabllm,credit_card_default,128,logistic_regression,0.7111,42.0
tabllm,credit_card_default,128,decision_tree,0.6046,11.0
tabllm,jungle,64,ttnet,0.7705,210.6
tabllm,jungle,64,xgboost,0.788,34769.4
tabllm,jungle,64,logistic_rule_regression,0.7749,46.0
tabllm,jungle,64,logistic_regression,0.7633,12.0
tabllm,jungle,64,decision_tree,0.7326,700.6
tabllm,jungle,16,ttnet,0.649,227.8
tabllm,jungle,16,xgboost,0.6967,2609.8
tabllm,jungle,16,logistic_rule_regression,0.6871,42.0
tabllm,jungle,16,logistic_regression,0.6518,12.0
tabllm,jungle,16,decision_tree,0.6337,244.2
tabllm,jungle,4,ttnet,0.6275,136.2
tabllm,jungle,4,xgboost,0.6401,1406.6
tabllm,jungle,4,logistic_rule_regression,0.6364,28.0
tabllm,jungle,4,logistic_regression,0.6658,12.0
tabllm,jungle,4,decision_tree,0.5875,210.2
tabllm,jungle,8,ttnet,0.5763,272.8
tabllm,jungle,8,xgboost,0.464,2.0
tabllm,jungle,8,logistic_rule_regression,0.5,0.0
tabllm,jungle,8,logistic_regression,0.7439,12.0
tabllm,jungle,8,decision_tree,0.5022,21.0
tabllm,jungle,32,ttnet,0.7294,224.2
tabllm,jungle,32,xgboost,0.7202,26823.6
tabllm,jungle,32,logistic_rule_regression,0.7146,49.0
tabllm,jungle,32,logistic_regression,0.7406,12.0
tabllm,jungle,32,decision_tree,0.667,409.0
tabllm,jungle,256,ttnet,0.7826,248.2
tabllm,jungle,256,xgboost,0.8431,10175.0
tabllm,jungle,256,logistic_rule_regression,0.8281,37.0
tabllm,jungle,256,logistic_regression,0.8069,12.0
tabllm,jungle,256,decision_tree,0.7869,411.4
tabllm,jungle,128,ttnet,0.7633,227.0
tabllm,jungle,128,xgboost,0.7861,49589.6
tabllm,jungle,128,logistic_rule_regression,0.7891,59.0
tabllm,jungle,128,logistic_regression,0.7852,12.0
tabllm,jungle,128,decision_tree,0.7059,959.4
tabllm,heart,64,ttnet,0.8579,380.0
tabllm,heart,64,xgboost,0.8642,578.4
tabllm,heart,64,logistic_rule_regression,0.8476,40.0
tabllm,heart,64,logistic_regression,0.8648,30.0
tabllm,heart,64,decision_tree,0.793,73.8
tabllm,heart,16,ttnet,0.7771,376.4
tabllm,heart,16,xgboost,0.7358,3015.4
tabllm,heart,16,logistic_rule_regression,0.8031,17.2
tabllm,heart,16,logistic_regression,0.7599,30.0
tabllm,heart,16,decision_tree,0.6694,11.4
tabllm,heart,4,ttnet,0.8026,384.6
tabllm,heart,4,xgboost,0.8003,1474.2
tabllm,heart,4,logistic_rule_regression,0.8018,14.0
tabllm,heart,4,logistic_regression,0.8216,30.0
tabllm,heart,4,decision_tree,0.75,15.4
tabllm,heart,8,ttnet,0.8095,386.2
tabllm,heart,8,xgboost,0.8103,2845.2
tabllm,heart,8,logistic_rule_regression,0.8322,45.6
tabllm,heart,8,logistic_regression,0.827,30.0
tabllm,heart,8,decision_tree,0.7722,99.0
tabllm,heart,32,ttnet,0.8607,371.2
tabllm,heart,32,xgboost,0.8779,391.8
tabllm,heart,32,logistic_rule_regression,0.8652,18.0
tabllm,heart,32,logistic_regression,0.8821,30.0
tabllm,heart,32,decision_tree,0.8119,88.2
tabllm,heart,256,ttnet,0.8985,421.0
tabllm,heart,256,xgboost,0.9116,13038.2
tabllm,heart,256,logistic_rule_regression,0.9042,72.0
tabllm,heart,256,logistic_regression,0.9112,30.0
tabllm,heart,256,decision_tree,0.8631,305.0
tabllm,heart,128,ttnet,0.8813,348.6
tabllm,heart,128,xgboost,0.9032,2933.2
tabllm,heart,128,logistic_rule_regression,0.8862,50.4
tabllm,heart,128,logistic_regression,0.8871,30.0
tabllm,heart,128,decision_tree,0.8509,171.4
tabllm,road_safety,64,ttnet,0.5715,755.0
tabllm,road_safety,64,xgboost,0.5594,3351.0
tabllm,road_safety,64,logistic_rule_regression,0.5523,34.6
tabllm,road_safety,64,logistic_regression,0.5647,64.0
tabllm,road_safety,64,decision_tree,0.5583,333.4
tabllm,road_safety,16,ttnet,0.6847,608.2
tabllm,road_safety,16,xgboost,0.6832,1643.2
tabllm,road_safety,16,logistic_rule_regression,0.6873,70.0
tabllm,road_safety,16,logistic_regression,0.6757,64.0
tabllm,road_safety,16,decision_tree,0.6719,95.8
tabllm,road_safety,4,ttnet,0.6975,309.0
tabllm,road_safety,4,xgboost,0.6855,32.0
tabllm,road_safety,4,logistic_rule_regression,0.6855,4.0
tabllm,road_safety,4,logistic_regression,0.6914,64.0
tabllm,road_safety,4,decision_tree,0.6855,3.0
tabllm,road_safety,8,ttnet,0.6795,295.4
tabllm,road_safety,8,xgboost,0.6855,25.0
tabllm,road_safety,8,logistic_rule_regression,0.6855,4.0
tabllm,road_safety,8,logistic_regression,0.6914,64.0
tabllm,road_safety,8,decision_tree,0.6855,5.0
tabllm,road_safety,32,ttnet,0.6901,410.4
tabllm,road_safety,32,xgboost,0.6809,116.4
tabllm,road_safety,32,logistic_rule_regression,0.6839,7.0
tabllm,road_safety,32,logistic_regression,0.7007,64.0
tabllm,road_safety,32,decision_tree,0.6849,9.8
tabllm,road_safety,256,ttnet,0.607,703.8
tabllm,road_safety,256,xgboost,0.5694,5960.4
tabllm,road_safety,256,logistic_rule_regression,0.6039,29.0
tabllm,road_safety,256,logistic_regression,0.6745,64.0
tabllm,road_safety,256,decision_tree,0.5842,342.6
tabllm,road_safety,128,ttnet,0.5068,759.0
tabllm,road_safety,128,xgboost,0.4647,6168.0
tabllm,road_safety,128,logistic_rule_regression,0.501,16.8
tabllm,road_safety,128,logistic_regression,0.4743,64.0
tabllm,road_safety,128,decision_tree,0.4547,499.8
tabllm,calhousing,64,ttnet,0.8154,196.8
tabllm,calhousing,64,xgboost,0.7778,2966.4
tabllm,calhousing,64,logistic_rule_regression,0.7715,77.0
tabllm,calhousing,64,logistic_regression,0.787,16.0
tabllm,calhousing,64,decision_tree,0.7539,122.6
tabllm,calhousing,16,ttnet,0.7738,177.2
tabllm,calhousing,16,xgboost,0.6654,1623.6
tabllm,calhousing,16,logistic_rule_regression,0.7355,54.0
tabllm,calhousing,16,logistic_regression,0.7473,16.0
tabllm,calhousing,16,decision_tree,0.6566,331.0
tabllm,calhousing,4,ttnet,0.5651,188.8
tabllm,calhousing,4,xgboost,0.5284,64.4
tabllm,calhousing,4,logistic_rule_regression,0.5261,3.0
tabllm,calhousing,4,logistic_regression,0.6069,16.0
tabllm,calhousing,4,decision_tree,0.4997,36.2
tabllm,calhousing,8,ttnet,0.6217,29.0
tabllm,calhousing,8,xgboost,0.5804,3993.6
tabllm,calhousing,8,logistic_rule_regression,0.6076,29.0
tabllm,calhousing,8,logistic_regression,0.6013,16.0
tabllm,calhousing,8,decision_tree,0.5497,36.2
tabllm,calhousing,32,ttnet,0.8186,150.6
tabllm,calhousing,32,xgboost,0.8238,2708.8
tabllm,calhousing,32,logistic_rule_regression,0.8282,61.0
tabllm,calhousing,32,logistic_regression,0.831,16.0
tabllm,calhousing,32,decision_tree,0.8057,53.8
tabllm,calhousing,256,ttnet,0.8322,147.2
tabllm,calhousing,256,xgboost,0.8398,2354.2
